policy_year,attained_age,scenario1_annual_increment,scenario2_annual_increment,scenario1_cumulative_increment,scenario2_cumulative_increment,scenario1_terminal_dividend,scenario2_terminal_dividend
1,46,0,634,0,634,0,6819
2,47,0,1416,0,2050,0,21510
3,48,0,2194,0,4244,0,43708
4,49,0,2969,0,7213,0,72997
5,50,0,3741,0,10954,0,109349
6,51,0,3748,0,14702,0,146139
7,52,0,3754,0,18456,0,183369
8,53,0,3762,0,22218,0,221045
9,54,0,3770,0,25988,0,259175
10,55,0,3780,0,29768,0,297766
11,56,0,3790,0,33558,0,336824
12,57,0,3802,0,37360,0,376356
13,58,0,3814,0,41175,0,416371
14,59,0,3828,0,45003,0,456576
15,60,0,3842,0,48845,0,497879
16,61,0,3858,0,52703,0,539388
17,62,0,3875,0,56578,0,581412
18,63,0,3892,0,60470,0,623960
19,64,0,3911,0,64381,0,667041
20,65,0,3931,0,68312,0,710664
21,66,0,3986,0,72299,0,753756
22,67,0,4044,0,76342,0,796308
23,68,0,4103,0,80445,0,838303
24,69,0,4164,0,84609,0,879724
25,70,0,4227,0,88836,0,920555
26,71,0,4291,0,93128,0,960780
27,72,0,4358,0,97486,0,1000383
28,73,0,4427,0,101913,0,1039347
29,74,0,4499,0,106412,0,1077658
30,75,0,4573,0,110986,0,1115301
31,76,0,4651,0,115636,0,1152264
32,77,0,4731,0,120368,0,1188535
33,78,0,4816,0,125184,0,1224104
34,79,0,4905,0,130089,0,1258962
35,80,0,4999,0,135088,0,1293101
36,81,0,5098,0,140185,0,1326510
37,82,0,5203,0,145388,0,1359179
38,83,0,5313,0,150701,0,1391094
39,84,0,5431,0,156132,0,1422245
40,85,0,5555,0,161688,0,1452611
41,86,0,5688,0,167376,0,1482176
42,87,0,5829,0,173205,0,1510917
43,88,0,5980,0,179185,0,1538813
44,89,0,6142,0,185328,0,1565837
45,90,0,6317,0,191645,0,1591961
46,91,0,6506,0,198151,0,1617156
47,92,0,6712,0,204863,0,1641389
48,93,0,6939,0,211802,0,1664626
49,94,0,7190,0,218992,0,1686829
50,95,0,7472,0,226464,0,1707957
51,96,0,7793,0,234257,0,1727968
52,97,0,8165,0,242422,0,1746817
53,98,0,8605,0,251027,0,1764455
54,99,0,9143,0,260170,0,1780831
55,100,0,9824,0,269994,0,1795890
56,101,0,10732,0,280726,0,1809574
57,102,0,12035,0,292761,0,1821819
58,103,0,14135,0,306896,0,1832566
59,104,0,18247,0,325143,0,1841767
60,105,0,29673,0,354817,0,1849185
